product_id,product_name,category,unit_price
PROD_000001,Reduced maximized application,Grocery,308.13
PROD_000002,Business-focused motivating workforce,Grocery,1075.61
PROD_000003,Diverse transitional info-mediaries,Grocery,911.86
PROD_000004,Proactive hybrid collaboration,Electronics,1704.77
PROD_000005,Business-focused system-worthy project,Home & Garden,791.35
PROD_000006,Universal optimizing instruction set,Electronics,1379.51
PROD_000007,Devolved explicit budgetary management,Electronics,1643.34
PROD_000008,Monitored heuristic archive,Grocery,1195.9
PROD_000009,Stand-alone encompassing challenge,Grocery,1043.58
PROD_000010,Focused grid-enabled knowledge user,Apparel,249.76
PROD_000011,Up-sized asynchronous migration,Electronics,1413.5
PROD_000012,Seamless high-level structure,Home & Garden,1999.11
PROD_000013,Multi-tiered static function,Sports,1537.55
PROD_000014,Profit-focused demand-driven projection,Home & Garden,219.84
PROD_000015,Organic stable policy,Sports,1787.05
PROD_000016,Stand-alone actuating access,Electronics,589.66
PROD_000017,Decentralized discrete approach,Electronics,917.66
PROD_000018,Customizable multi-state policy,Apparel,1330.68
PROD_000019,Advanced holistic protocol,Home & Garden,882.43
PROD_000020,Exclusive holistic monitoring,Sports,243.82
PROD_000021,Down-sized bottom-line contingency,Apparel,257.53
PROD_000022,Ergonomic full-range neural-net,Electronics,708.01
PROD_000023,Polarized intangible artificial intelligence,Grocery,416.63
PROD_000024,Optimized 3rdgeneration structure,Grocery,447.65
PROD_000025,Visionary directional artificial intelligence,Grocery,670.12
PROD_000026,Persistent optimal array,Home & Garden,1075.97
PROD_000027,Exclusive impactful architecture,Grocery,1976.09
PROD_000028,Quality-focused impactful challenge,Apparel,897.96
PROD_000029,Synergized 24/7 algorithm,Home & Garden,1742.05
PROD_000030,Persevering interactive pricing structure,Grocery,609.02
PROD_000031,Upgradable transitional task-force,Grocery,632.73
PROD_000032,Horizontal 5thgeneration circuit,Sports,850.25
PROD_000033,Customizable static core,Sports,1288.38
PROD_000034,Cloned well-modulated circuit,Grocery,349.12
PROD_000035,Configurable non-volatile database,Sports,246.05
PROD_000036,Object-based intermediate utilization,Apparel,167.37
PROD_000037,Up-sized scalable function,Apparel,1529.53
PROD_000038,Managed static instruction set,Grocery,678.86
PROD_000039,Phased heuristic focus group,Apparel,341.79
PROD_000040,Streamlined uniform superstructure,Grocery,232.99
PROD_000041,Realigned tangible framework,Grocery,770.74
PROD_000042,Advanced empowering complexity,Home & Garden,633.16
PROD_000043,Adaptive next generation definition,Grocery,1624.94
PROD_000044,Switchable logistical array,Grocery,1822.91
PROD_000045,Reduced transitional migration,Apparel,686.49
PROD_000046,Assimilated stable access,Grocery,1653.13
PROD_000047,Reverse-engineered user-facing support,Home & Garden,1385.26
PROD_000048,Upgradable executive access,Sports,1527.28
PROD_000049,Extended human-resource protocol,Home & Garden,1616.93
PROD_000050,Function-based object-oriented moratorium,Home & Garden,1934.99
PROD_000051,Organized context-sensitive migration,Apparel,51.61
PROD_000052,Visionary actuating adapter,Apparel,1870.48
PROD_000053,Customer-focused analyzing projection,Sports,1275.9
PROD_000054,Reduced multi-tasking help-desk,Apparel,588.22
PROD_000055,Upgradable mobile open system,Home & Garden,1518.16
PROD_000056,Multi-tiered scalable archive,Sports,1653.24
PROD_000057,Innovative attitude-oriented collaboration,Grocery,1015.6
PROD_000058,Ameliorated systemic firmware,Sports,1084.46
PROD_000059,Profit-focused tangible forecast,Electronics,536.98
PROD_000060,Exclusive multimedia standardization,Home & Garden,573.55
PROD_000061,Automated full-range migration,Home & Garden,660.28
PROD_000062,Function-based reciprocal policy,Electronics,1095.78
PROD_000063,Vision-oriented contextually-based time-frame,Electronics,548.82
PROD_000064,Extended stable moratorium,Apparel,764.45
PROD_000065,Visionary 5thgeneration installation,Home & Garden,1318.87
PROD_000066,Secured 3rdgeneration strategy,Electronics,1110.6
PROD_000067,Integrated didactic installation,Grocery,1676.31
PROD_000068,Programmable interactive monitoring,Electronics,469.63
PROD_000069,Centralized systemic moratorium,Electronics,138.29
PROD_000070,Implemented didactic complexity,Sports,673.24
PROD_000071,User-friendly fresh-thinking moderator,Apparel,1702.51
PROD_000072,Multi-tiered eco-centric budgetary management,Sports,1529.79
PROD_000073,Phased analyzing process improvement,Electronics,1675.25
PROD_000074,Innovative context-sensitive core,Electronics,225.27
PROD_000075,Distributed solution-oriented monitoring,Home & Garden,1598.01
PROD_000076,Programmable tertiary circuit,Electronics,424.03
PROD_000077,Integrated object-oriented artificial intelligence,Electronics,1671.93
PROD_000078,Upgradable multi-tasking monitoring,Apparel,1862.28
PROD_000079,Automated solution-oriented utilization,Grocery,804.72
PROD_000080,Robust exuding strategy,Sports,263.41
PROD_000081,Team-oriented logistical framework,Home & Garden,1765.83
PROD_000082,Phased bifurcated algorithm,Electronics,525.05
PROD_000083,Multi-layered global archive,Electronics,545.85
PROD_000084,Inverse demand-driven open architecture,Sports,1840.5
PROD_000085,Face-to-face impactful challenge,Electronics,538.88
PROD_000086,Future-proofed methodical synergy,Apparel,1981.33
PROD_000087,Seamless next generation interface,Home & Garden,818.59
PROD_000088,Polarized needs-based knowledge user,Grocery,1721.04
PROD_000089,Fundamental non-volatile ability,Sports,576.44
PROD_000090,Organic dynamic framework,Grocery,1967.86
PROD_000091,Reactive client-driven solution,Home & Garden,446.56
PROD_000092,Stand-alone interactive focus group,Home & Garden,851.25
PROD_000093,Profit-focused 4thgeneration concept,Electronics,1707.46
PROD_000094,Open-source optimal migration,Sports,541.1
PROD_000095,Multi-tiered content-based implementation,Electronics,1494.76
PROD_000096,Profit-focused analyzing Local Area Network,Sports,1973.12
PROD_000097,Function-based grid-enabled capability,Sports,1025.24
PROD_000098,Multi-lateral intermediate array,Home & Garden,415.9
PROD_000099,Self-enabling actuating hierarchy,Apparel,1714.78
PROD_000100,Self-enabling value-added functionalities,Electronics,399.47
PROD_000101,Function-based exuding core,Apparel,96.94
PROD_000102,Focused modular strategy,Sports,179.18
PROD_000103,Synergized content-based solution,Apparel,911.52
PROD_000104,Virtual homogeneous capacity,Sports,475.99
PROD_000105,Phased multi-tasking algorithm,Sports,793.21
PROD_000106,Devolved tangible flexibility,Electronics,1946.62
PROD_000107,Multi-channeled contextually-based orchestration,Grocery,414.98
PROD_000108,Versatile next generation database,Electronics,1326.21
PROD_000109,Grass-roots contextually-based throughput,Home & Garden,849.9
PROD_000110,Cloned zero tolerance emulation,Home & Garden,1048.82
PROD_000111,Fully-configurable mobile portal,Sports,1874.62
PROD_000112,Progressive intermediate Internet solution,Sports,1600.67
PROD_000113,Integrated 5thgeneration workforce,Apparel,43.7
PROD_000114,Front-line executive support,Electronics,682.7
PROD_000115,User-friendly systematic capability,Electronics,1008.02
PROD_000116,Multi-channeled heuristic conglomeration,Electronics,979.72
PROD_000117,Switchable 24/7 collaboration,Electronics,1360.79
PROD_000118,Front-line 5thgeneration encryption,Grocery,556.8
PROD_000119,Re-contextualized asynchronous algorithm,Apparel,53.38
PROD_000120,Progressive mobile firmware,Grocery,420.28
PROD_000121,Versatile motivating algorithm,Grocery,1215.89
PROD_000122,Operative value-added groupware,Grocery,1533.44
PROD_000123,Phased value-added budgetary management,Home & Garden,1402.26
PROD_000124,Total analyzing framework,Electronics,1530.46
PROD_000125,Vision-oriented 6thgeneration moderator,Grocery,1582.57
PROD_000126,Front-line non-volatile task-force,Apparel,1282.54
PROD_000127,Realigned zero tolerance challenge,Electronics,70.95
PROD_000128,Visionary client-server instruction set,Grocery,806.47
PROD_000129,Decentralized needs-based Local Area Network,Home & Garden,54.52
PROD_000130,Public-key global challenge,Apparel,113.04
PROD_000131,Object-based high-level paradigm,Home & Garden,1422.94
PROD_000132,Integrated motivating secured line,Grocery,35.93
PROD_000133,Reactive empowering installation,Sports,665.81
PROD_000134,Sharable 24/7 knowledgebase,Home & Garden,1481.74
PROD_000135,Re-contextualized full-range matrices,Electronics,1614.17
PROD_000136,Robust intangible service-desk,Apparel,723.33
PROD_000137,Ameliorated holistic conglomeration,Home & Garden,1360.87
PROD_000138,Ergonomic transitional throughput,Home & Garden,964.99
PROD_000139,Versatile intangible strategy,Grocery,264.3
PROD_000140,Seamless mobile definition,Home & Garden,1961.45
PROD_000141,Upgradable hybrid synergy,Grocery,1925.67
PROD_000142,Polarized interactive attitude,Apparel,1641.18
PROD_000143,Advanced zero administration utilization,Electronics,1756.55
PROD_000144,Universal value-added utilization,Home & Garden,1424.74
PROD_000145,Extended transitional neural-net,Electronics,1818.44
PROD_000146,Cross-platform didactic utilization,Grocery,1419.51
PROD_000147,Diverse mobile productivity,Grocery,1372.25
PROD_000148,Future-proofed object-oriented capability,Electronics,1969.77
PROD_000149,Public-key mobile collaboration,Grocery,1625.82
PROD_000150,Self-enabling discrete benchmark,Apparel,1547.58
PROD_000151,Synchronized mission-critical adapter,Home & Garden,1966.72
PROD_000152,Managed secondary moratorium,Apparel,1859.58
PROD_000153,Advanced eco-centric flexibility,Grocery,1505.44
PROD_000154,Managed contextually-based budgetary management,Home & Garden,829.21
PROD_000155,Open-architected human-resource support,Apparel,1248.98
PROD_000156,Innovative explicit toolset,Sports,1137.02
PROD_000157,Customizable non-volatile infrastructure,Grocery,1591.41
PROD_000158,Reverse-engineered mission-critical hub,Electronics,1624.37
PROD_000159,Horizontal maximized task-force,Sports,142.06
PROD_000160,Extended logistical utilization,Apparel,57.96
PROD_000161,Multi-tiered hybrid benchmark,Home & Garden,1450.78
PROD_000162,Intuitive dedicated ability,Home & Garden,320.98
PROD_000163,Managed upward-trending service-desk,Electronics,986.05
PROD_000164,Progressive methodical encryption,Electronics,1885.48
PROD_000165,Team-oriented human-resource model,Electronics,987.78
PROD_000166,Business-focused heuristic Internet solution,Sports,1087.04
PROD_000167,Triple-buffered static installation,Apparel,1957.73
PROD_000168,Distributed dedicated emulation,Grocery,286.7
PROD_000169,Stand-alone grid-enabled leverage,Electronics,1449.08
PROD_000170,Focused content-based installation,Home & Garden,1956.3
PROD_000171,Secured directional knowledgebase,Grocery,1627.05
PROD_000172,Expanded homogeneous knowledge user,Grocery,169.18
PROD_000173,Optimized static open architecture,Grocery,40.97
PROD_000174,Inverse dynamic strategy,Apparel,1505.34
PROD_000175,Cloned tertiary circuit,Grocery,1237.94
PROD_000176,Object-based modular website,Home & Garden,988.62
PROD_000177,Monitored 24/7 strategy,Electronics,342.17
PROD_000178,Realigned zero tolerance installation,Home & Garden,1746.98
PROD_000179,Integrated bifurcated adapter,Home & Garden,1166.56
PROD_000180,Optimized intangible algorithm,Electronics,963.34
PROD_000181,Object-based systemic solution,Apparel,139.17
PROD_000182,Extended dedicated leverage,Sports,704.38
PROD_000183,De-engineered homogeneous collaboration,Sports,48.34
PROD_000184,Integrated explicit conglomeration,Sports,1620.13
PROD_000185,Digitized 5thgeneration protocol,Grocery,1131.33
PROD_000186,Cross-platform homogeneous knowledge user,Sports,526.11
PROD_000187,Quality-focused exuding neural-net,Grocery,524.06
PROD_000188,Self-enabling attitude-oriented product,Sports,266.89
PROD_000189,Digitized client-server core,Home & Garden,488.98
PROD_000190,Polarized interactive time-frame,Home & Garden,1043.35
PROD_000191,Optimized real-time contingency,Electronics,411.63
PROD_000192,Streamlined coherent knowledge user,Sports,1290.35
PROD_000193,Optional incremental time-frame,Grocery,1746.1
PROD_000194,Team-oriented 24/7 extranet,Sports,1142.06
PROD_000195,Inverse attitude-oriented data-warehouse,Grocery,564.36
PROD_000196,Phased uniform groupware,Apparel,921.32
