product_name,category,unit_price
Sony Plus Smartphone 5G,Electronics,967.62
Under Armour Slim-Fit Sweater,Apparel,143.1
Panasonic Ultra-Slim Smart TV 4K,Electronics,1843.39
LG Lite Smartwatch,Electronics,1516.71
Wilson Durable Baseball Glove,Sports,168.68
Gatorade Official Size Treadmill,Sports,168.65
Rawlings Indoor/Outdoor Basketball,Sports,72.21
H&M Vintage Jacket,Apparel,131.26
Puma Vintage Jeans,Apparel,94.16
Panasonic Pro Gaming Console,Electronics,1784.78
Coca-Cola Family Size Mixed Nuts,Grocery,2.48
Spalding Lightweight Golf Clubs,Sports,970.36
Rawlings Indoor/Outdoor Yoga Mat,Sports,834.96
Titleist Advanced Golf Clubs,Sports,224.15
LG Plus Laptop Pro,Electronics,495.47
Adidas Classic Jacket,Apparel,35.68
KitchenAid Compact Lawn Mower,Home & Garden,264.27
Kraft Fresh Almond Milk,Grocery,14.58
Callaway Durable Baseball Glove,Sports,440.47
Gap Classic Jacket,Apparel,50.77
Titleist Advanced Yoga Mat,Sports,617.68
LG Ultra-Slim Gaming Console,Electronics,391.76
Dyson Modern Blender,Home & Garden,254.95
Coleman Official Size Treadmill,Sports,375.87
Weber Compact Coffee Maker,Home & Garden,381.17
Puma Premium Shorts,Apparel,119.92
Yeti Stainless Steel Blender,Home & Garden,183.75
Ralph Lauren Performance Jeans,Apparel,81.99
Samsung Max Wireless Earbuds,Electronics,1501.42
Ashley Smart Tool Set,Home & Garden,65.77
Bowflex Durable Camping Tent,Sports,613.43
Wilson Advanced Golf Clubs,Sports,182.97
Dell Portable Wireless Earbuds,Electronics,2374.77
IKEA Ergonomic Grill,Home & Garden,773.54
Ralph Lauren Slim-Fit Jacket,Apparel,123.18
Titleist Official Size Yoga Mat,Sports,315.04
Ralph Lauren Cotton Shorts,Apparel,23.67
General Mills Family Size Almond Milk,Grocery,18.41
Coca-Cola Premium Organic Coffee,Grocery,12.55
Adidas Slim-Fit Dress,Apparel,27.09
Bose Max Wireless Earbuds,Electronics,1263.18
DeWalt Ergonomic Grill,Home & Garden,56.48
Gatorade Official Size Water Bottle,Sports,910.68
Levis Classic Hoodie,Apparel,46.23
Weber Modern Blender,Home & Garden,540.14
Adidas Vintage T-Shirt,Apparel,53.64
Titleist Durable Baseball Glove,Sports,527.27
Samsung Ultra-Slim Smartphone 5G,Electronics,1389.44
Sony Advanced Laptop Pro,Electronics,502.89
Titleist Performance Treadmill,Sports,970.04
Ralph Lauren Athletic Shorts,Apparel,118.52
Bowflex Official Size Treadmill,Sports,940.41
Black+Decker Modern Power Drill,Home & Garden,719.02
KitchenAid Smart Tool Set,Home & Garden,490.38
IKEA Modern Sofa,Home & Garden,739.84
KitchenAid Modern Blender,Home & Garden,98.14
Puma Performance Sneakers,Apparel,37.44
DeWalt Ergonomic Cooler,Home & Garden,64.83
Adidas Performance Sweater,Apparel,55.55
Sony Ultra-Slim Laptop Pro,Electronics,1002.26
Under Armour Classic Dress,Apparel,47.99
Black+Decker Smart Sofa,Home & Garden,668.13
H&M Cotton Socks,Apparel,59.95
General Mills Fresh Pasta,Grocery,8.73
Bowflex Official Size Baseball Glove,Sports,549.56
Kraft Family Size Protein Bar,Grocery,5.37
HP Ultra-Slim Smart TV 4K,Electronics,2015.38
Bowflex Durable Water Bottle,Sports,88.43
Nike Slim-Fit Sneakers,Apparel,148.16
Samsung Lite Monitor,Electronics,1942.0
LG Ultra-Slim Laptop Pro,Electronics,536.85
KitchenAid Ergonomic Blender,Home & Garden,34.25
Kraft Fresh Pasta,Grocery,21.56
Levis Performance Hoodie,Apparel,108.96
Sony Bluetooth Laptop Pro,Electronics,1836.07
Bose Lite Smartwatch,Electronics,1939.61
Nestle Roasted Almond Milk,Grocery,3.77
Zara Premium Sneakers,Apparel,60.19
Dyson Heavy Duty Grill,Home & Garden,119.22
Great Value Gluten-Free Olive Oil,Grocery,22.7
Samsung Max Tablet,Electronics,1577.08
Kraft Roasted Cereal,Grocery,9.93
General Mills Fresh Organic Coffee,Grocery,3.52
